2025-10-19 15:00:40.328,6.082,<no data>
2025-10-19 15:00:40.380,6.134,"2.690,2.690,602370"
2025-10-19 15:00:40.536,6.289,<no data>
2025-10-19 15:00:40.587,6.341,"3.380,3.380,602570"
2025-10-19 15:00:40.740,6.494,"1.540,2.690,602770"
2025-10-19 15:00:40.906,6.66,<no data>
2025-10-19 15:00:40.958,6.712,"1.080,2.690,602970"
2025-10-19 15:00:41.061,6.815,Mode: FILL
2025-10-19 15:00:41.121,6.875,Fill Time: 585 s
2025-10-19 15:00:41.175,6.928,"1.540,1.540,603170"
2025-10-19 15:00:41.338,7.092,<no data>
2025-10-19 15:00:41.389,7.143,"3.380,1.540,603370"
2025-10-19 15:00:41.540,7.293,"2.230,1.540,603570"
2025-10-19 15:00:41.702,7.455,<no data>
2025-10-19 15:00:41.754,7.508,"2.230,3.840,603770"
2025-10-19 15:00:41.920,7.674,<no data>
2025-10-19 15:00:41.973,7.726,"2.230,2.230,603970"
2025-10-19 15:00:42.062,7.816,Mode: FILL
2025-10-19 15:00:42.115,7.868,Fill Time: 586 s
2025-10-19 15:00:42.167,7.921,"2.230,3.380,604170"
2025-10-19 15:00:42.325,8.078,<no data>
2025-10-19 15:00:42.380,8.133,"3.380,-0.070,604370"
2025-10-19 15:00:42.537,8.29,<no data>
2025-10-19 15:00:42.590,8.344,"1.540,3.380,604570"
2025-10-19 15:00:42.740,8.494,"1.080,1.080,604770"
2025-10-19 15:00:42.902,8.655,<no data>
2025-10-19 15:00:42.954,8.707,"1.540,1.540,604970"
2025-10-19 15:00:43.061,8.815,Mode: FILL
2025-10-19 15:00:43.117,8.871,Fill Time: 587 s
2025-10-19 15:00:43.174,8.928,"1.540,1.540,605170"
2025-10-19 15:00:43.338,9.092,<no data>
2025-10-19 15:00:43.390,9.144,"3.380,2.690,605370"
2025-10-19 15:00:43.540,9.293,"1.540,1.540,605570"
2025-10-19 15:00:43.696,9.45,<no data>
2025-10-19 15:00:43.750,9.504,"2.230,2.230,605770"
2025-10-19 15:00:43.909,9.662,<no data>
2025-10-19 15:00:43.963,9.717,"1.080,1.540,605970"
2025-10-19 15:00:44.061,9.815,Mode: FILL
2025-10-19 15:00:44.113,9.867,Fill Time: 588 s
2025-10-19 15:00:44.170,9.924,"1.080,2.690,606170"
2025-10-19 15:00:44.332,10.086,<no data>
2025-10-19 15:00:44.384,10.137,"2.690,1.080,606370"
2025-10-19 15:00:44.541,10.294,"1.080,2.230,606570"
2025-10-19 15:00:44.702,10.455,<no data>
2025-10-19 15:00:44.754,10.508,"2.230,0.390,606770"
2025-10-19 15:00:44.919,10.672,<no data>
2025-10-19 15:00:44.975,10.729,"2.690,3.840,606970"
2025-10-19 15:00:45.061,10.815,Mode: FILL
2025-10-19 15:00:45.114,10.868,Fill Time: 589 s
2025-10-19 15:00:45.169,10.923,"1.540,1.540,607170"
2025-10-19 15:00:45.332,11.086,<no data>
2025-10-19 15:00:45.384,11.138,"2.690,2.690,607370"
2025-10-19 15:00:45.538,11.291,<no data>
2025-10-19 15:00:45.591,11.345,"2.690,2.230,607570"
2025-10-19 15:00:45.740,11.494,"2.690,1.080,607770"
2025-10-19 15:00:45.898,11.651,<no data>
2025-10-19 15:00:45.949,11.703,"0.390,2.230,607970"
2025-10-19 15:00:46.061,11.814,Mode: FILL
2025-10-19 15:00:46.112,11.865,Fill Time: 590 s
2025-10-19 15:00:46.163,11.917,"1.540,1.540,608170"
2025-10-19 15:00:46.319,12.073,<no data>
2025-10-19 15:00:46.370,12.124,"1.080,1.540,608370"
2025-10-19 15:00:46.524,12.277,<no data>
2025-10-19 15:00:46.577,12.33,"1.540,3.840,608570"
2025-10-19 15:00:46.738,12.491,<no data>
