Timestamp,t [ms],Mode,Launch_Time [s],Fill_Time [s],P_o [Bar],P_i [Bar]
18:16:58.0045,370.0,,,,1.08,1.08
18:16:58.0344,470.0,,,,1.08,1.54
18:16:58.0592,570.0,,,,2.23,1.54
18:16:58.0839,670.0,,,,2.23,2.23
18:16:59.0210,770.0,,,,1.54,1.08
18:16:59.0441,870.0,,,,2.23,2.23
18:16:59.0674,970.0,,,,1.54,1.54
18:16:59.0912,1070.0,REST,,,2.69,2.69
18:17:00.0145,1170.0,REST,,,2.23,2.69
18:17:00.0366,1270.0,REST,,,0.39,1.54
18:17:00.0607,1370.0,REST,,,1.54,1.54
18:17:00.0842,1470.0,REST,,,0.39,1.08
18:17:01.0069,1570.0,REST,,,1.08,0.39
18:17:01.0307,1670.0,REST,,,2.23,0.39
18:17:01.0512,1770.0,REST,,,1.54,0.39
18:17:01.0702,1870.0,REST,,,-0.07,-0.07
18:17:01.0892,1970.0,REST,,,0.39,0.39
18:17:02.0084,2070.0,REST,,,1.54,2.69
18:17:02.0279,2170.0,REST,,,1.54,1.54
18:17:02.0471,2270.0,REST,,,1.08,1.08
18:17:02.0665,2370.0,REST,,,2.23,0.39
18:17:02.0881,2470.0,REST,,,0.39,1.08
18:17:03.0101,2570.0,REST,,,-0.07,1.54
18:17:03.0417,2670.0,REST,,,2.23,2.23
18:17:03.0692,2770.0,REST,,,1.54,1.54
18:17:03.0915,2870.0,REST,,,-0.76,-0.76
18:17:04.0435,2970.0,REST,,,2.23,1.08
18:17:04.0707,3070.0,REST,,,1.54,1.08
18:17:04.0993,3170.0,REST,,,1.08,1.08
18:17:05.0275,3270.0,REST,,,1.54,-0.07
18:17:05.0558,3370.0,REST,,,1.08,1.08
18:17:05.0852,3470.0,REST,,,1.08,1.54
18:17:06.0135,3570.0,REST,,,1.08,1.54
18:17:06.0409,3670.0,REST,,,0.39,2.23
18:17:06.0693,3770.0,REST,,,1.54,1.54
18:17:06.0977,3870.0,REST,,,1.54,1.54
18:17:07.0258,3970.0,REST,,,0.39,2.69
18:17:07.0535,4070.0,REST,,,2.69,-0.07
18:17:07.0805,4170.0,REST,,,0.39,1.54
18:17:08.0060,4270.0,REST,,,2.23,-0.07
18:17:08.0299,4370.0,REST,,,2.23,3.38
18:17:08.0509,4470.0,REST,,,2.69,2.69
18:17:08.0701,4570.0,REST,,,2.23,1.54
18:17:08.0886,4670.0,REST,,,1.54,1.08
18:17:09.0063,4770.0,REST,,,1.54,1.54
18:17:09.0241,4870.0,REST,,,0.39,0.39
18:17:09.0412,4970.0,REST,,,1.08,2.23
18:17:09.0577,5070.0,REST,,,1.08,2.23
18:17:09.0737,5170.0,REST,,,1.54,0.39
18:17:09.0892,5270.0,REST,,,1.54,0.39
18:17:10.0042,5370.0,REST,,,0.39,1.08
18:17:10.0189,5470.0,REST,,,1.54,0.39
18:17:10.0332,5570.0,REST,,,0.39,1.08
18:17:10.0473,5670.0,REST,,,1.54,2.69
18:17:10.0608,5770.0,REST,,,2.23,2.23
18:17:10.0743,5870.0,REST,,,1.08,1.08
18:17:10.0877,5970.0,REST,,,1.54,1.54
18:17:11.0011,6070.0,REST,,,2.23,2.69
18:17:11.0143,6170.0,REST,,,0.39,1.54
18:17:11.0272,6270.0,REST,,,2.69,1.54
18:17:11.0398,6370.0,REST,,,1.08,2.69
18:17:11.0523,6470.0,REST,,,1.54,1.08
18:17:11.0645,6570.0,REST,,,-0.07,-0.07
18:17:11.0767,6670.0,REST,,,1.08,0.39
18:17:11.0887,6770.0,REST,,,1.08,1.08
18:17:12.0003,6870.0,REST,,,-0.07,-0.07
18:17:12.0117,6970.0,REST,,,1.54,2.23
18:17:12.0231,7070.0,REST,,,-0.76,1.08
18:17:12.0346,7170.0,REST,,,2.69,1.08
18:17:12.0464,7270.0,REST,,,2.23,0.39
18:17:12.0581,7370.0,REST,,,1.54,2.23
18:17:12.0696,7470.0,REST,,,1.54,2.23
18:17:12.0809,7570.0,REST,,,0.39,2.23
18:17:12.0923,7670.0,REST,,,1.54,2.23
18:17:13.0035,7770.0,REST,,,1.08,1.08
18:17:13.0147,7870.0,REST,,,1.54,1.54
18:17:13.0257,7970.0,REST,,,2.23,1.54
18:17:13.0367,8070.0,REST,,,1.54,-0.07
18:17:13.0476,8170.0,REST,,,2.23,1.54
18:17:13.0584,8270.0,REST,,,-0.07,1.08
18:17:13.0690,8370.0,REST,,,2.23,2.69
18:17:13.0796,8470.0,REST,,,0.39,3.38
18:17:13.0902,8570.0,REST,,,1.08,2.23
18:17:14.0007,8670.0,REST,,,2.23,0.39
18:17:14.0114,8770.0,REST,,,1.08,2.23
18:17:14.0219,8870.0,REST,,,1.08,1.08
18:17:14.0322,8970.0,REST,,,2.23,2.23
18:17:14.0427,9070.0,REST,,,0.39,0.39
18:17:14.0534,9170.0,REST,,,1.54,2.69
18:17:14.0640,9270.0,REST,,,1.54,2.23
18:17:14.0748,9370.0,REST,,,1.54,1.54
18:17:14.0857,9470.0,REST,,,2.23,1.54
18:17:14.0966,9570.0,REST,,,1.54,1.54
18:17:15.0075,9670.0,REST,,,1.08,1.08
18:17:15.0185,9770.0,REST,,,1.08,2.69
18:17:15.0291,9870.0,REST,,,2.69,2.69
18:17:15.0401,9970.0,REST,,,1.54,1.54
18:17:15.0513,10070.0,REST,,,1.08,0.39
18:17:15.0627,10170.0,REST,,,2.23,1.54
18:17:15.0741,10270.0,REST,,,1.08,1.54
18:17:15.0856,10370.0,REST,,,0.39,1.54
18:17:15.0970,10470.0,REST,,,2.23,0.39
18:17:16.0088,10570.0,REST,,,2.23,2.23
