Timestamp,t [ms],Mode,Launch_Time [s],Fill_Time [s],P_o [Bar],P_i [Bar]
18:55:52.0096,1283986.0,,,,1.08,2.23
18:55:52.0358,1284086.0,,,,1.08,1.54
18:55:52.0358,1284186.0,,,,1.54,1.54
18:55:52.0396,1284286.0,,,,2.69,2.69
18:55:52.0496,1284386.0,FILL,STANDBY,992,2.69,0.39
18:55:52.0597,1284486.0,FILL,STANDBY,992,0.39,-0.07
18:55:52.0696,1284586.0,FILL,STANDBY,992,1.54,1.54
18:55:52.0796,1284686.0,FILL,STANDBY,992,1.54,1.08
18:55:52.0896,1284786.0,FILL,STANDBY,992,2.23,2.23
18:55:52.0996,1284886.0,FILL,STANDBY,992,1.54,1.54
18:55:53.0096,1284986.0,FILL,STANDBY,992,2.23,0.39
18:55:53.0564,1285086.0,FILL,STANDBY,992,0.39,1.08
18:55:53.0565,1285186.0,FILL,STANDBY,992,1.54,2.69
18:55:53.0565,1285286.0,FILL,STANDBY,992,0.39,1.08
18:55:53.0566,1285386.0,FILL,STANDBY,993,1.54,1.08
18:55:53.0596,1285486.0,FILL,STANDBY,993,1.08,1.54
18:55:53.0696,1285586.0,FILL,STANDBY,993,1.54,1.08
18:55:53.0796,1285686.0,FILL,STANDBY,993,0.39,2.69
18:55:53.0897,1285786.0,FILL,STANDBY,993,-0.07,1.08
18:55:53.0996,1285886.0,FILL,STANDBY,993,1.08,0.39
18:55:54.0096,1285986.0,FILL,STANDBY,993,2.23,2.23
18:55:54.0464,1286086.0,FILL,STANDBY,993,2.23,0.39
18:55:54.0465,1286186.0,FILL,STANDBY,993,2.23,2.69
18:55:54.0465,1286286.0,FILL,STANDBY,993,2.23,1.08
18:55:54.0496,1286386.0,FILL,STANDBY,994,1.08,1.08
18:55:54.0596,1286486.0,FILL,STANDBY,994,1.54,2.23
18:55:54.0697,1286586.0,FILL,STANDBY,994,2.23,2.23
18:55:54.0796,1286686.0,FILL,STANDBY,994,2.23,1.08
18:55:54.0896,1286786.0,FILL,STANDBY,994,2.23,1.08
18:55:54.0996,1286886.0,FILL,STANDBY,994,1.54,1.08
18:55:55.0096,1286986.0,FILL,STANDBY,994,0.39,2.23
18:55:55.0481,1287086.0,FILL,STANDBY,994,1.54,1.54
18:55:55.0482,1287186.0,FILL,STANDBY,994,2.23,2.23
18:55:55.0482,1287286.0,FILL,STANDBY,994,1.54,1.54
18:55:55.0496,1287386.0,FILL,STANDBY,995,1.08,0.39
18:55:55.0597,1287486.0,FILL,STANDBY,995,1.54,-0.07
18:55:55.0697,1287586.0,FILL,STANDBY,995,2.23,2.23
18:55:55.0796,1287686.0,FILL,STANDBY,995,0.39,2.23
18:55:55.0897,1287786.0,FILL,STANDBY,995,1.54,1.54
18:55:55.0996,1287886.0,FILL,STANDBY,995,1.08,1.08
18:55:56.0096,1287986.0,FILL,STANDBY,995,0.39,1.08
18:55:56.0490,1288086.0,FILL,STANDBY,995,2.69,1.08
18:55:56.0490,1288186.0,FILL,STANDBY,995,0.39,1.08
18:55:56.0491,1288286.0,FILL,STANDBY,995,1.54,1.54
18:55:56.0497,1288386.0,FILL,STANDBY,996,0.39,0.39
18:55:56.0596,1288486.0,FILL,STANDBY,996,2.23,2.23
18:55:56.0697,1288586.0,FILL,STANDBY,996,-0.07,1.08
18:55:56.0796,1288686.0,FILL,STANDBY,996,1.54,0.39
18:55:56.0896,1288786.0,FILL,STANDBY,996,2.23,1.08
18:55:56.0996,1288886.0,FILL,STANDBY,996,1.08,0.39
18:55:57.0096,1288986.0,FILL,STANDBY,996,1.54,1.54
18:55:57.0537,1289086.0,FILL,STANDBY,996,1.54,1.08
18:55:57.0538,1289186.0,FILL,STANDBY,996,2.23,2.23
18:55:57.0546,1289286.0,FILL,STANDBY,996,-0.76,2.23
18:55:57.0547,1289386.0,FILL,STANDBY,997,1.08,1.08
18:55:57.0596,1289486.0,FILL,STANDBY,997,0.39,2.23
18:55:57.0696,1289586.0,FILL,STANDBY,997,1.54,1.54
18:55:57.0797,1289686.0,FILL,STANDBY,997,-0.76,1.54
18:55:57.0896,1289786.0,FILL,STANDBY,997,1.54,0.39
18:55:57.0996,1289886.0,FILL,STANDBY,997,2.23,1.54
18:55:58.0097,1289986.0,FILL,STANDBY,997,0.39,-0.07
18:55:58.0561,1290086.0,FILL,STANDBY,997,1.54,1.54
18:55:58.0562,1290186.0,FILL,STANDBY,997,1.54,1.54
18:55:58.0562,1290286.0,FILL,STANDBY,997,1.08,1.54
18:55:58.0563,1290386.0,FILL,STANDBY,998,1.54,1.54
18:55:58.0596,1290486.0,FILL,STANDBY,998,0.39,1.54
18:55:58.0696,1290586.0,FILL,STANDBY,998,1.54,2.23
18:55:58.0796,1290686.0,FILL,STANDBY,998,1.08,2.23
18:55:58.0897,1290786.0,FILL,STANDBY,998,1.08,1.08
18:55:58.0996,1290886.0,FILL,STANDBY,998,2.69,1.54
18:55:59.0096,1290986.0,FILL,STANDBY,998,1.08,2.23
18:55:59.0555,1291086.0,FILL,STANDBY,998,2.69,-0.07
18:55:59.0555,1291186.0,FILL,STANDBY,998,3.38,1.08
18:55:59.0555,1291286.0,FILL,STANDBY,998,2.23,2.23
18:55:59.0556,1291386.0,FILL,STANDBY,999,0.39,2.23
18:55:59.0596,1291486.0,FILL,STANDBY,999,1.54,2.69
18:55:59.0696,1291586.0,FILL,STANDBY,999,1.54,2.23
18:55:59.0796,1291686.0,FILL,STANDBY,999,1.08,1.54
18:55:59.0896,1291786.0,FILL,STANDBY,999,1.08,1.08
18:55:59.0996,1291886.0,FILL,STANDBY,999,1.54,1.54
18:56:00.0096,1291986.0,FILL,STANDBY,999,1.54,1.54
18:56:00.0554,1292086.0,FILL,STANDBY,999,2.69,2.69
18:56:00.0554,1292186.0,FILL,STANDBY,999,1.08,1.08
18:56:00.0555,1292286.0,FILL,STANDBY,999,1.54,2.23
18:56:00.0555,1292387.0,FILL,STANDBY,1000,2.23,1.08
18:56:00.0597,1292487.0,FILL,STANDBY,1000,2.23,2.23
18:56:00.0697,1292587.0,FILL,STANDBY,1000,2.23,2.23
18:56:00.0797,1292687.0,FILL,STANDBY,1000,1.08,1.54
18:56:00.0897,1292787.0,FILL,STANDBY,1000,1.08,2.69
18:56:00.0997,1292887.0,FILL,STANDBY,1000,1.08,2.69
18:56:01.0098,1292987.0,FILL,STANDBY,1000,-0.07,1.54
18:56:01.0547,1293087.0,FILL,STANDBY,1000,1.08,1.08
18:56:01.0547,1293187.0,FILL,STANDBY,1000,1.08,1.08
18:56:01.0547,1293287.0,FILL,STANDBY,1000,1.08,-0.07
18:56:01.0547,1293387.0,FILL,STANDBY,1001,1.54,1.54
18:56:01.0597,1293487.0,FILL,STANDBY,1001,2.23,1.54
18:56:01.0697,1293587.0,FILL,STANDBY,1001,1.54,2.23
18:56:01.0797,1293687.0,FILL,STANDBY,1001,1.54,1.54
18:56:01.0897,1293787.0,FILL,STANDBY,1001,1.08,2.23
18:56:01.0997,1293887.0,FILL,STANDBY,1001,2.23,2.23
18:56:02.0097,1293987.0,FILL,STANDBY,1001,1.08,2.69
18:56:02.0555,1294087.0,FILL,STANDBY,1001,1.08,1.54
18:56:02.0555,1294187.0,FILL,STANDBY,1001,1.08,2.23
18:56:02.0556,1294287.0,FILL,STANDBY,1001,-0.07,-0.07
18:56:02.0556,1294387.0,FILL,STANDBY,1002,1.54,2.69
18:56:02.0597,1294487.0,FILL,STANDBY,1002,1.08,1.08
18:56:02.0697,1294587.0,FILL,STANDBY,1002,2.69,1.54
18:56:02.0797,1294687.0,FILL,STANDBY,1002,0.39,0.39
18:56:02.0897,1294787.0,FILL,STANDBY,1002,2.69,1.08
18:56:02.0997,1294887.0,FILL,STANDBY,1002,2.23,2.23
18:56:03.0097,1294987.0,FILL,STANDBY,1002,1.54,1.08
18:56:03.0546,1295087.0,FILL,STANDBY,1002,2.23,1.08
18:56:03.0547,1295187.0,FILL,STANDBY,1002,2.23,1.08
18:56:03.0547,1295287.0,FILL,STANDBY,1002,1.08,1.54
18:56:03.0548,1295387.0,FILL,STANDBY,1003,2.23,2.23
18:56:03.0597,1295487.0,FILL,STANDBY,1003,0.39,0.39
18:56:03.0697,1295587.0,FILL,STANDBY,1003,1.54,2.23
18:56:03.0798,1295687.0,FILL,STANDBY,1003,-0.76,0.39
18:56:03.0898,1295787.0,FILL,STANDBY,1003,1.08,1.54
18:56:03.0998,1295887.0,FILL,STANDBY,1003,-1.22,1.08
18:56:04.0098,1295987.0,FILL,STANDBY,1003,1.54,1.54
18:56:04.0566,1296087.0,FILL,STANDBY,1003,1.08,1.54
18:56:04.0566,1296187.0,FILL,STANDBY,1003,1.54,1.08
18:56:04.0566,1296287.0,FILL,STANDBY,1003,1.08,0.39
18:56:04.0567,1296387.0,FILL,STANDBY,1004,1.54,0.39
18:56:04.0597,1296487.0,FILL,STANDBY,1004,1.08,1.54
18:56:04.0697,1296587.0,FILL,STANDBY,1004,2.69,2.69
18:56:04.0798,1296687.0,FILL,STANDBY,1004,-0.07,1.08
18:56:04.0897,1296787.0,FILL,STANDBY,1004,1.54,1.54
18:56:04.0997,1296887.0,FILL,STANDBY,1004,2.69,2.23
18:56:05.0097,1296987.0,FILL,STANDBY,1004,1.08,2.69
18:56:05.0551,1297087.0,FILL,STANDBY,1004,1.54,1.54
18:56:05.0551,1297187.0,FILL,STANDBY,1004,1.54,1.54
18:56:05.0552,1297287.0,FILL,STANDBY,1004,0.39,2.23
18:56:05.0552,1297387.0,FILL,STANDBY,1005,1.08,1.54
18:56:05.0597,1297487.0,FILL,STANDBY,1005,0.39,1.08
18:56:05.0697,1297587.0,FILL,STANDBY,1005,1.08,1.08
18:56:05.0797,1297687.0,FILL,STANDBY,1005,1.54,1.54
18:56:05.0897,1297787.0,FILL,STANDBY,1005,2.69,2.69
18:56:05.0997,1297887.0,FILL,STANDBY,1005,1.08,0.39
18:56:06.0098,1297987.0,FILL,STANDBY,1005,-0.07,1.08
18:56:06.0572,1298087.0,FILL,STANDBY,1005,1.08,1.54
18:56:06.0573,1298187.0,FILL,STANDBY,1005,0.39,3.38
18:56:06.0573,1298287.0,FILL,STANDBY,1005,1.54,1.54
18:56:06.0574,1298387.0,FILL,STANDBY,1006,0.39,1.54
18:56:06.0597,1298487.0,FILL,STANDBY,1006,1.08,1.54
18:56:06.0697,1298587.0,FILL,STANDBY,1006,1.54,2.69
18:56:06.0797,1298687.0,FILL,STANDBY,1006,1.08,1.54
18:56:06.0897,1298787.0,FILL,STANDBY,1006,1.54,1.54
18:56:06.0997,1298887.0,FILL,STANDBY,1006,1.08,2.23
18:56:07.0097,1298987.0,FILL,STANDBY,1006,2.23,2.23
18:56:07.0547,1299087.0,FILL,STANDBY,1006,1.08,2.23
18:56:07.0548,1299187.0,FILL,STANDBY,1006,-0.07,-0.07
18:56:07.0548,1299287.0,FILL,STANDBY,1006,0.39,2.23
18:56:07.0548,1299387.0,FILL,STANDBY,1007,2.23,2.23
18:56:07.0597,1299487.0,FILL,STANDBY,1007,0.39,2.23
18:56:07.0697,1299587.0,FILL,STANDBY,1007,1.54,1.54
18:56:07.0797,1299687.0,FILL,STANDBY,1007,2.69,1.08
18:56:07.0897,1299787.0,FILL,STANDBY,1007,1.54,0.39
18:56:07.0999,1299887.0,FILL,STANDBY,1007,2.23,-0.07
18:56:08.0097,1299987.0,FILL,STANDBY,1007,1.08,1.54
18:56:08.0627,1300087.0,FILL,STANDBY,1007,1.54,1.08
18:56:08.0627,1300187.0,FILL,STANDBY,1007,1.08,1.08
18:56:08.0628,1300287.0,FILL,STANDBY,1007,0.39,0.39
18:56:08.0628,1300387.0,FILL,STANDBY,1008,2.23,2.23
18:56:08.0629,1300487.0,FILL,STANDBY,1008,2.69,2.23
18:56:08.0697,1300587.0,FILL,STANDBY,1008,0.39,2.69
18:56:08.0797,1300687.0,FILL,STANDBY,1008,0.39,2.69
18:56:08.0897,1300787.0,FILL,STANDBY,1008,0.39,0.39
18:56:08.0997,1300887.0,FILL,STANDBY,1008,1.08,1.08
18:56:09.0097,1300987.0,FILL,STANDBY,1008,3.38,1.54
18:56:09.0625,1301087.0,FILL,STANDBY,1008,2.69,1.54
18:56:09.0626,1301187.0,FILL,STANDBY,1008,1.08,0.39
18:56:09.0626,1301287.0,FILL,STANDBY,1008,2.23,2.23
18:56:09.0627,1301387.0,FILL,STANDBY,1009,2.69,1.08
18:56:09.0627,1301487.0,FILL,STANDBY,1009,0.39,1.54
18:56:09.0697,1301587.0,FILL,STANDBY,1009,2.23,1.08
18:56:09.0798,1301687.0,FILL,STANDBY,1009,1.54,1.08
18:56:09.0897,1301787.0,FILL,STANDBY,1009,1.08,2.23
18:56:09.0997,1301887.0,FILL,STANDBY,1009,2.69,2.69
18:56:10.0097,1301987.0,FILL,STANDBY,1009,1.08,0.39
18:56:10.0585,1302087.0,FILL,STANDBY,1009,1.08,1.54
18:56:10.0585,1302187.0,FILL,STANDBY,1009,1.08,0.39
18:56:10.0586,1302287.0,FILL,STANDBY,1009,1.54,0.39
18:56:10.0587,1302387.0,FILL,STANDBY,1010,2.23,3.38
18:56:10.0597,1302487.0,FILL,STANDBY,1010,0.39,0.39
18:56:10.0697,1302587.0,FILL,STANDBY,1010,1.08,1.54
18:56:10.0797,1302687.0,FILL,STANDBY,1010,0.39,2.69
18:56:10.0897,1302787.0,FILL,STANDBY,1010,1.08,0.39
18:56:10.0997,1302887.0,FILL,STANDBY,1010,2.23,3.38
18:56:11.0097,1302987.0,FILL,STANDBY,1010,2.23,3.38
18:56:11.0543,1303087.0,FILL,STANDBY,1010,1.54,1.54
18:56:11.0544,1303187.0,FILL,STANDBY,1010,0.39,2.23
18:56:11.0544,1303287.0,FILL,STANDBY,1010,1.08,0.39
18:56:11.0545,1303387.0,FILL,STANDBY,1011,1.54,1.54
18:56:11.0597,1303487.0,FILL,STANDBY,1011,1.08,1.54
18:56:11.0697,1303587.0,FILL,STANDBY,1011,1.08,1.54
18:56:11.0797,1303687.0,FILL,STANDBY,1011,2.23,2.23
18:56:11.0898,1303787.0,FILL,STANDBY,1011,-0.07,1.54
18:56:11.0997,1303887.0,FILL,STANDBY,1011,0.39,1.08
18:56:12.0097,1303987.0,FILL,STANDBY,1011,1.54,1.54
18:56:12.0562,1304087.0,FILL,STANDBY,1011,2.23,1.08
18:56:12.0562,1304187.0,FILL,STANDBY,1011,2.23,1.54
18:56:12.0563,1304287.0,FILL,STANDBY,1011,1.08,1.08
18:56:12.0563,1304387.0,FILL,STANDBY,1012,1.54,1.08
18:56:12.0597,1304487.0,FILL,STANDBY,1012,1.54,0.39
18:56:12.0697,1304587.0,FILL,STANDBY,1012,1.08,2.23
18:56:12.0797,1304687.0,FILL,STANDBY,1012,0.39,0.39
18:56:12.0900,1304787.0,FILL,STANDBY,1012,-0.07,-0.07
18:56:12.0997,1304887.0,FILL,STANDBY,1012,3.38,3.38
18:56:13.0097,1304987.0,FILL,STANDBY,1012,0.39,1.54
18:56:13.0642,1305087.0,FILL,STANDBY,1012,1.54,2.23
18:56:13.0643,1305187.0,FILL,STANDBY,1012,1.54,2.23
18:56:13.0643,1305287.0,FILL,STANDBY,1012,0.39,2.23
18:56:13.0644,1305387.0,FILL,STANDBY,1013,1.54,2.23
18:56:13.0644,1305487.0,FILL,STANDBY,1013,2.23,2.23
18:56:13.0697,1305587.0,FILL,STANDBY,1013,1.08,0.39
18:56:13.0797,1305687.0,FILL,STANDBY,1013,1.54,2.23
18:56:13.0897,1305787.0,FILL,STANDBY,1013,1.54,0.39
18:56:13.0997,1305887.0,FILL,STANDBY,1013,1.08,0.39
18:56:14.0097,1305987.0,FILL,STANDBY,1013,2.23,1.54
18:56:14.0533,1306087.0,FILL,STANDBY,1013,0.39,0.39
18:56:14.0534,1306187.0,FILL,STANDBY,1013,1.08,2.23
18:56:14.0534,1306287.0,FILL,STANDBY,1013,0.39,0.39
18:56:14.0535,1306387.0,FILL,STANDBY,1014,1.08,1.08
18:56:14.0598,1306487.0,FILL,STANDBY,1014,1.54,1.54
18:56:14.0697,1306587.0,FILL,STANDBY,1014,1.54,1.54
18:56:14.0797,1306687.0,FILL,STANDBY,1014,1.54,1.54
18:56:14.0898,1306787.0,FILL,STANDBY,1014,-0.07,2.23
18:56:14.0997,1306887.0,FILL,STANDBY,1014,0.39,1.08
18:56:15.0097,1306987.0,FILL,STANDBY,1014,0.39,2.23
18:56:15.0554,1307087.0,FILL,STANDBY,1014,1.08,1.08
18:56:15.0555,1307187.0,FILL,STANDBY,1014,0.39,0.39
18:56:15.0555,1307287.0,FILL,STANDBY,1014,1.54,1.08
18:56:15.0555,1307387.0,FILL,STANDBY,1015,1.08,2.69
18:56:15.0597,1307487.0,FILL,STANDBY,1015,1.54,1.08
18:56:15.0697,1307587.0,FILL,STANDBY,1015,0.39,2.23
18:56:15.0797,1307687.0,FILL,STANDBY,1015,1.08,1.54
18:56:15.0897,1307787.0,FILL,STANDBY,1015,1.54,1.54
18:56:15.0997,1307887.0,FILL,STANDBY,1015,1.54,1.08
18:56:16.0098,1307987.0,FILL,STANDBY,1015,0.39,-0.07
18:56:16.0624,1308087.0,FILL,STANDBY,1015,1.08,1.54
18:56:16.0625,1308187.0,FILL,STANDBY,1015,-0.07,2.23
18:56:16.0625,1308287.0,FILL,STANDBY,1015,1.54,1.54
18:56:16.0626,1308387.0,FILL,STANDBY,1016,-0.07,0.39
18:56:16.0626,1308487.0,FILL,STANDBY,1016,2.23,1.54
18:56:16.0697,1308587.0,FILL,STANDBY,1016,1.08,2.23
18:56:16.0797,1308687.0,FILL,STANDBY,1016,2.69,1.54
18:56:16.0897,1308787.0,FILL,STANDBY,1016,2.69,1.54
18:56:16.0997,1308887.0,FILL,STANDBY,1016,2.69,1.54
18:56:17.0097,1308987.0,FILL,STANDBY,1016,3.38,3.38
18:56:17.0642,1309087.0,FILL,STANDBY,1016,0.39,2.23
18:56:17.0642,1309187.0,FILL,STANDBY,1016,2.69,1.54
18:56:17.0642,1309287.0,FILL,STANDBY,1016,2.23,2.23
18:56:17.0643,1309387.0,FILL,STANDBY,1017,1.54,1.08
18:56:17.0644,1309487.0,FILL,STANDBY,1017,0.39,1.08
