Timestamp,t [ms],Mode,Launch_Time [s],Fill_Time [s],P_o [Bar],P_i [Bar]
19:20:47.0226,370.0,,,,-1.22,1.08
19:20:47.0701,470.0,,,,0.39,0.39
19:20:47.0702,570.0,,,,1.08,0.39
19:20:48.0053,670.0,,,,2.23,0.39
19:20:48.0382,770.0,,,,-0.07,-0.07
19:20:48.0382,870.0,,,,0.39,0.39
19:20:48.0711,970.0,,,,0.39,0.39
19:20:48.0711,1070.0,REST,,,0.39,1.54
19:20:49.0031,1170.0,REST,,,1.08,0.39
19:20:49.0032,1270.0,REST,,,-0.76,-0.76
19:20:49.0349,1370.0,REST,,,-0.76,-0.07
19:20:49.0664,1470.0,REST,,,-0.07,-0.07
19:20:49.0664,1570.0,REST,,,-0.07,-0.76
19:20:49.0978,1670.0,REST,,,0.39,0.39
19:20:49.0979,1770.0,REST,,,-0.07,0.39
19:20:50.0291,1870.0,REST,,,1.54,-1.22
19:20:50.0602,1970.0,REST,,,0.39,-0.07
19:20:50.0603,2070.0,REST,,,-0.76,-0.76
19:20:50.0914,2170.0,REST,,,-0.76,-0.07
19:20:51.0216,2270.0,REST,,,1.08,0.39
19:20:51.0522,2370.0,REST,,,-0.07,-0.07
19:20:51.0826,2470.0,REST,,,1.08,1.08
19:20:52.0130,2570.0,REST,,,0.39,0.39
19:20:52.0131,2670.0,REST,,,0.39,0.39
19:20:52.0436,2770.0,REST,,,1.08,-1.91
19:20:52.0741,2870.0,REST,,,-1.22,-1.22
19:20:53.0045,2970.0,REST,,,-1.22,1.08
19:20:53.0350,3070.0,REST,,,-0.07,0.39
19:20:53.0350,3170.0,REST,,,-0.76,-0.07
19:20:53.0660,3270.0,REST,,,0.39,0.39
19:20:53.0969,3370.0,REST,,,-0.76,-0.07
19:20:54.0281,3470.0,REST,,,0.39,1.08
19:20:54.0591,3570.0,REST,,,-0.07,0.39
19:20:54.0591,3670.0,REST,,,1.08,1.08
19:20:54.0908,3770.0,REST,,,-0.07,0.39
19:20:55.0221,3870.0,REST,,,-0.76,-0.07
19:20:55.0528,3970.0,REST,,,0.39,1.54
19:20:55.0840,4070.0,REST,,,-1.22,-0.07
19:20:56.0159,4170.0,REST,,,1.54,1.54
19:20:56.0159,4270.0,REST,,,0.39,-0.07
19:20:56.0474,4370.0,REST,,,2.69,1.08
19:20:56.0787,4470.0,REST,,,-0.07,1.54
19:20:56.0787,4570.0,REST,,,-0.76,0.39
19:20:57.0094,4670.0,REST,,,-0.07,-0.07
19:20:57.0095,4770.0,REST,,,0.39,-1.22
19:20:57.0380,4870.0,REST,,,1.08,1.08
19:20:57.0645,4970.0,REST,,,-0.07,-0.07
19:20:57.0646,5070.0,REST,,,-1.22,0.39
19:20:57.0893,5170.0,REST,,,1.08,-0.07
19:20:57.0893,5270.0,REST,,,0.39,-0.07
19:20:58.0121,5370.0,REST,,,-0.07,-0.76
19:20:58.0335,5470.0,REST,,,-0.07,-0.76
19:20:58.0336,5570.0,REST,,,-0.07,0.39
19:20:58.0535,5670.0,REST,,,1.08,1.08
19:20:58.0536,5770.0,REST,,,-0.76,-0.07
19:20:58.0717,5870.0,REST,,,-0.76,-0.76
19:20:58.0886,5970.0,REST,,,1.54,-1.22
19:20:58.0887,6070.0,REST,,,0.39,0.39
19:20:59.0053,6170.0,REST,,,-0.07,-0.07
19:20:59.0054,6270.0,REST,,,1.54,1.08
19:20:59.0212,6370.0,REST,,,-0.07,1.08
19:20:59.0365,6470.0,REST,,,0.39,0.39
19:20:59.0366,6570.0,REST,,,1.54,1.54
