Timestamp,t [ms],Mode,Launch_Time [s],Fill_Time [s],P_o [Bar],P_i [Bar]
19:17:36.0273,191570.0,,,,1.08,1.08
19:17:36.0373,191670.0,,,,1.08,1.54
19:17:36.0473,191770.0,,,,1.54,1.08
19:17:36.0937,191870.0,,,,1.08,2.23
19:17:36.0937,191970.0,,,,1.08,1.08
19:17:37.0269,192070.0,REST,,,1.54,1.08
19:17:37.0270,192170.0,REST,,,2.69,1.54
19:17:37.0600,192270.0,REST,,,-0.07,2.23
19:17:37.0948,192370.0,REST,,,1.54,2.23
19:17:37.0949,192470.0,REST,,,1.54,1.54
19:17:38.0291,192570.0,REST,,,1.08,1.54
19:17:38.0291,192670.0,REST,,,1.54,2.23
19:17:38.0634,192770.0,REST,,,-0.07,1.54
19:17:38.0956,192870.0,REST,,,1.54,1.54
19:17:38.0956,192970.0,REST,,,2.69,2.69
19:17:39.0278,193070.0,REST,,,0.39,1.54
19:17:39.0278,193170.0,REST,,,0.39,1.08
19:17:39.0605,193270.0,REST,,,2.23,1.08
19:17:39.0914,193370.0,REST,,,-0.07,0.39
19:17:39.0914,193470.0,REST,,,1.08,1.08
19:17:40.0229,193570.0,REST,,,2.23,0.39
19:17:40.0229,193670.0,REST,,,2.69,0.39
19:17:40.0540,193770.0,REST,,,1.08,1.54
19:17:40.0848,193870.0,REST,,,1.08,1.54
19:17:40.0848,193970.0,REST,,,1.08,1.08
19:17:41.0155,194070.0,REST,,,2.23,0.39
19:17:41.0156,194170.0,REST,,,0.39,1.54
19:17:41.0468,194270.0,REST,,,1.08,0.39
19:17:41.0775,194370.0,REST,,,0.39,1.54
19:17:41.0776,194470.0,REST,,,0.39,0.39
19:17:42.0088,194570.0,REST,,,0.39,1.54
19:17:42.0088,194670.0,REST,,,1.08,1.54
19:17:42.0408,194770.0,REST,,,1.08,1.08
19:17:42.0711,194870.0,REST,,,0.39,1.54
19:17:42.0712,194970.0,REST,,,1.54,1.54
19:17:43.0024,195070.0,REST,,,1.08,1.54
19:17:43.0025,195170.0,REST,,,1.08,1.54
19:17:43.0356,195270.0,REST,,,1.54,2.23
19:17:43.0664,195370.0,REST,,,1.54,3.84
19:17:43.0665,195470.0,REST,,,1.54,1.54
