Timestamp,t [ms],Mode,Launch_Time [s],Fill_Time [s],P_o [Bar],P_i [Bar]
19:15:09.0272,44570.0,,,,1.54,2.23
19:15:09.0373,44670.0,,,,-0.07,1.08
19:15:09.0827,44770.0,,,,2.23,1.08
19:15:10.0159,44870.0,,,,1.54,1.08
19:15:10.0159,44970.0,,,,2.23,2.23
19:15:10.0483,45070.0,REST,,,3.38,0.39
19:15:10.0810,45170.0,REST,,,1.08,1.08
19:15:11.0138,45270.0,REST,,,1.08,1.54
19:15:11.0472,45370.0,REST,,,1.54,1.08
19:15:11.0473,45470.0,REST,,,1.54,2.23
19:15:11.0781,45570.0,REST,,,2.23,2.23
19:15:12.0087,45670.0,REST,,,1.54,1.08
19:15:12.0392,45770.0,REST,,,1.08,2.69
19:15:12.0693,45870.0,REST,,,1.08,1.08
19:15:12.0694,45970.0,REST,,,0.39,1.54
19:15:12.0988,46070.0,REST,,,1.08,1.08
19:15:13.0291,46170.0,REST,,,0.39,1.54
19:15:13.0594,46270.0,REST,,,1.08,2.69
19:15:13.0895,46370.0,REST,,,2.23,1.54
19:15:13.0895,46470.0,REST,,,1.54,1.08
19:15:14.0196,46570.0,REST,,,0.39,0.39
19:15:14.0496,46670.0,REST,,,1.54,1.54
19:15:14.0795,46770.0,REST,,,-0.07,1.54
19:15:15.0096,46870.0,REST,,,1.54,2.23
19:15:15.0096,46970.0,REST,,,2.69,0.39
19:15:15.0409,47070.0,REST,,,0.39,1.08
19:15:15.0709,47170.0,REST,,,1.08,1.08
19:15:16.0007,47270.0,REST,,,2.23,1.54
19:15:16.0299,47370.0,REST,,,2.23,1.54
19:15:16.0299,47470.0,REST,,,0.39,1.54
19:15:16.0602,47570.0,REST,,,0.39,2.69
19:15:16.0899,47670.0,REST,,,1.08,1.08
19:15:17.0214,47770.0,REST,,,2.23,1.08
19:15:17.0514,47870.0,REST,,,1.08,1.54
19:15:17.0515,47970.0,REST,,,1.54,1.54
19:15:17.0799,48070.0,REST,,,1.54,1.54
19:15:18.0040,48170.0,REST,,,1.08,1.08
19:15:18.0263,48270.0,REST,,,1.54,2.23
19:15:18.0496,48370.0,REST,,,2.23,1.54
19:15:18.0497,48470.0,REST,,,3.84,1.54
19:15:18.0886,48570.0,REST,,,-0.07,1.54
19:15:19.0145,48670.0,REST,,,1.08,2.23
19:15:19.0385,48770.0,REST,,,1.54,1.54
19:15:19.0659,48870.0,REST,,,1.54,0.39
19:15:19.0660,48970.0,REST,,,1.08,1.54
19:15:19.0872,49070.0,REST,,,1.54,1.54
19:15:20.0076,49170.0,REST,,,1.54,1.54
19:15:20.0274,49270.0,REST,,,-1.22,-1.22
19:15:20.0443,49370.0,REST,,,1.08,2.69
19:15:20.0443,49470.0,REST,,,3.38,2.23
19:15:20.0610,49570.0,REST,,,1.54,0.39
19:15:20.0774,49670.0,REST,,,2.23,2.23
19:15:20.0933,49770.0,REST,,,1.08,1.08
19:15:21.0089,49870.0,REST,,,1.08,5.68
19:15:21.0089,49970.0,REST,,,-0.07,0.39
19:15:21.0243,50070.0,REST,,,1.08,1.08
19:15:21.0387,50170.0,REST,,,1.08,0.39
19:15:21.0525,50270.0,REST,,,0.39,0.39
19:15:21.0668,50370.0,REST,,,2.69,2.69
19:15:21.0669,50470.0,REST,,,0.39,1.54
19:15:21.0803,50570.0,REST,,,1.08,2.23
19:15:21.0940,50670.0,REST,,,1.08,1.54
19:15:22.0070,50770.0,REST,,,1.08,2.69
19:15:22.0200,50870.0,REST,,,-0.07,-0.07
19:15:22.0200,50970.0,REST,,,2.23,1.54
19:15:22.0335,51070.0,REST,,,0.39,1.08
19:15:22.0471,51170.0,REST,,,0.39,1.08
19:15:22.0599,51270.0,REST,,,1.08,0.39
19:15:22.0733,51370.0,REST,,,2.69,2.69
19:15:22.0733,51470.0,REST,,,2.23,1.08
19:15:22.0867,51570.0,REST,,,1.54,2.23
19:15:22.0996,51670.0,REST,,,2.69,2.69
19:15:23.0130,51770.0,REST,,,3.38,2.23
19:15:23.0267,51870.0,REST,,,2.23,2.23
19:15:23.0267,51970.0,REST,,,1.54,1.08
19:15:23.0400,52070.0,REST,,,2.23,1.54
19:15:23.0536,52170.0,REST,,,1.08,1.08
19:15:23.0669,52270.0,REST,,,1.08,2.69
