Timestamp,t [ms],Mode,Launch_Time [s],Fill_Time [s],P_o [Bar],P_i [Bar]
19:08:02.0514,2014387.0,,,,1.08,1.54
19:08:02.0600,2014487.0,REST,,,2.69,1.54
19:08:02.0700,2014587.0,REST,,,1.54,1.54
19:08:02.0800,2014687.0,REST,,,1.54,2.23
19:08:02.0900,2014787.0,REST,,,1.54,2.23
19:08:03.0000,2014887.0,REST,,,1.54,2.69
19:08:03.0100,2014987.0,REST,,,1.08,1.54
19:08:03.0200,2015087.0,REST,,,1.08,1.08
19:08:03.0300,2015187.0,REST,,,1.54,1.08
19:08:03.0400,2015287.0,REST,,,1.08,1.08
19:08:03.0514,2015387.0,REST,,,1.08,2.69
19:08:03.0600,2015487.0,REST,,,2.23,1.54
19:08:03.0700,2015587.0,REST,,,1.54,1.54
19:08:03.0800,2015687.0,REST,,,1.54,0.39
19:08:03.0902,2015787.0,REST,,,-0.07,-0.07
19:08:04.0000,2015887.0,REST,,,1.54,2.23
19:08:04.0100,2015987.0,REST,,,0.39,1.54
19:08:04.0200,2016087.0,REST,,,1.08,1.08
19:08:04.0300,2016187.0,REST,,,2.23,1.08
19:08:04.0400,2016287.0,REST,,,0.39,0.39
19:08:04.0514,2016387.0,REST,,,1.08,1.54
19:08:04.0600,2016487.0,REST,,,1.54,2.23
19:08:04.0700,2016587.0,REST,,,1.54,1.54
19:08:04.0801,2016687.0,REST,,,1.54,-0.07
19:08:04.0900,2016787.0,REST,,,3.84,0.39
19:08:05.0000,2016887.0,REST,,,1.08,1.08
19:08:05.0100,2016987.0,REST,,,0.39,1.08
19:08:05.0200,2017087.0,REST,,,1.54,1.54
19:08:05.0300,2017187.0,REST,,,1.08,2.69
19:08:05.0400,2017287.0,REST,,,1.08,2.23
19:08:05.0513,2017387.0,REST,,,1.54,2.23
19:08:05.0600,2017487.0,REST,,,2.69,1.54
19:08:05.0700,2017587.0,REST,,,0.39,0.39
19:08:05.0800,2017687.0,REST,,,1.08,2.69
19:08:05.0901,2017787.0,REST,,,-0.76,1.08
19:08:06.0000,2017887.0,REST,,,1.54,2.69
19:08:06.0100,2017987.0,REST,,,0.39,1.08
19:08:06.0200,2018087.0,REST,,,1.08,1.08
19:08:06.0300,2018187.0,REST,,,0.39,1.08
19:08:06.0400,2018287.0,REST,,,0.39,1.08
19:08:06.0514,2018387.0,REST,,,1.08,1.08
19:08:06.0600,2018487.0,REST,,,1.54,1.54
19:08:06.0700,2018587.0,REST,,,0.39,0.39
19:08:06.0800,2018687.0,REST,,,1.54,1.08
19:08:06.0900,2018787.0,REST,,,2.23,1.08
19:08:07.0000,2018887.0,REST,,,2.23,2.23
19:08:07.0099,2018987.0,REST,,,2.23,1.54
19:08:07.0199,2019087.0,REST,,,0.39,0.39
19:08:07.0300,2019187.0,REST,,,2.23,1.54
19:08:07.0401,2019287.0,REST,,,2.23,-0.07
