Timestamp,t [ms],Mode,Launch_Time [s],Fill_Time [s],P_o [Bar],P_i [Bar]
15:15.0,126000,,,,1.54,1.54
15:16.0,127000,REST,,,2.69,1.08
15:17.0,128000,REST,,,2.69,-0.76
15:18.0,129000,REST,,,-0.07,0.39
15:19.0,130000,REST,,,1.54,0.39
15:20.0,131000,REST,,,0.39,1.54
15:21.0,132000,REST,,,2.23,1.08
15:22.0,133000,REST,,,0.39,0.39
15:23.0,134000,REST,,,1.08,0.39
15:24.0,135000,REST,,,1.08,1.08
15:25.0,136000,REST,,,1.08,2.23
15:26.0,137000,REST,,,2.23,0.39
15:27.0,138000,REST,,,-0.07,1.54
15:28.0,139000,REST,,,1.54,2.69
15:29.0,140000,REST,,,1.08,1.54
15:30.0,141000,REST,,,2.69,2.23
15:31.0,142000,REST,,,2.69,2.69
15:32.0,143000,REST,,,-0.07,-0.07
15:33.0,144000,REST,,,2.23,2.23
15:34.0,145000,REST,,,2.23,2.23
15:35.0,146000,FILL,STANDBY,1,1.08,1.08
15:36.0,147000,FILL,STANDBY,2,1.54,1.54
15:37.0,148000,FILL,STANDBY,3,-0.07,-0.07
15:38.0,149000,FILL,STANDBY,4,1.54,1.54
15:39.0,150000,FILL,STANDBY,5,1.08,1.08
15:40.0,151000,FILL,STANDBY,6,2.69,2.69
15:41.0,152000,FILL,STANDBY,7,2.23,2.23
15:42.0,153000,FILL,STANDBY,8,1.54,1.08
15:43.0,154000,FILL,STANDBY,9,2.23,1.54
15:44.0,155000,FILL,STANDBY,10,0.39,2.23
15:45.0,156000,FILL,STANDBY,11,1.08,1.54
15:46.0,157000,FILL,STANDBY,12,1.08,1.08
15:47.0,158000,FILL,STANDBY,12,1.08,1.08
15:48.0,159000,FIRE,-9,STANDBY,2.23,2.23
15:49.0,160000,FIRE,-8,STANDBY,1.54,1.54
15:50.0,161000,FIRE,-7,STANDBY,1.08,1.08
15:51.0,162000,FIRE,-6,STANDBY,1.54,1.54
15:52.0,163000,FIRE,-5,STANDBY,2.23,2.23
15:53.0,164000,FIRE,-4,STANDBY,1.08,1.08
15:54.0,165000,FIRE,-3,STANDBY,1.54,1.54
15:55.0,166000,FIRE,-2,STANDBY,1.54,1.54
15:56.0,167000,FIRE,-1,STANDBY,0.39,0.39
15:57.0,168000,FIRE,0,STANDBY,1.08,1.08
15:58.0,169000,FIRE,1,STANDBY,2.23,0.39
15:59.0,170000,FIRE,2,STANDBY,2.69,2.23
16:00.0,171000,FIRE,3,STANDBY,1.08,1.54
16:01.0,172000,FIRE,4,STANDBY,1.54,0.39
16:02.0,173000,FIRE,5,STANDBY,1.54,1.08
16:03.0,174000,FIRE,5,STANDBY,1.08,0.39
16:04.0,175000,ABORT,5,STANDBY,0.39,0.39
16:05.0,176000,ABORT,5,STANDBY,1.08,1.54
16:06.0,177000,ABORT,5,STANDBY,0.39,0.39
16:07.0,178000,ABORT,5,STANDBY,1.08,1.54
16:08.0,179000,ABORT,5,STANDBY,0.39,1.54
16:09.0,180000,ABORT,5,STANDBY,1.08,1.54
16:10.0,181000,ABORT,5,STANDBY,1.08,0.39
16:11.0,182000,ABORT,5,STANDBY,1.54,0.39
16:12.0,183000,ABORT,5,STANDBY,1.54,0.39
16:13.0,184000,REST,5,STANDBY,1.08,1.08
16:14.0,185000,REST,5,STANDBY,0.39,0.39
16:15.0,186000,REST,5,STANDBY,1.08,1.08
16:16.0,187000,REST,5,STANDBY,-0.07,-0.07
16:17.0,188000,REST,5,STANDBY,0.39,0.39
16:18.0,189000,REST,5,STANDBY,2.23,0.39
16:19.0,190000,REST,5,STANDBY,2.23,1.08
16:20.0,191000,REST,5,STANDBY,1.54,1.54
16:21.0,192000,REST,5,STANDBY,0.39,1.08
16:22.0,193000,REST,5,STANDBY,-0.07,1.08
16:23.0,194000,REST,5,STANDBY,1.54,1.54
16:24.0,195000,REST,5,STANDBY,1.08,1.54
