Timestamp,t [ms],Mode,Launch_Time [s],Fill_Time [s],P_o [Bar],P_i [Bar]
58:29.1,974470,,,,2.23,2.23
58:29.1,974570,,,,1.54,1.08
58:30.0,974670,,,,1.54,0.39
58:30.0,974770,,,,1.08,1.08
58:30.0,974870,,,,2.23,2.23
58:30.0,974970,,,,0.39,1.54
58:30.1,975070,REST,,,2.23,0.39
58:30.1,975170,REST,,,1.54,1.54
58:30.1,975270,REST,,,1.08,1.08
58:31.0,975370,REST,,,2.23,1.54
58:31.0,975470,REST,,,1.54,-0.07
58:31.0,975570,REST,,,1.54,1.54
58:31.0,975670,REST,,,1.08,2.23
58:31.0,975770,REST,,,-0.07,1.54
58:31.0,975870,REST,,,1.08,1.08
58:31.0,975970,REST,,,0.39,0.39
58:31.0,976070,REST,,,2.23,2.23
58:31.0,976170,REST,,,0.39,0.39
58:31.0,976270,REST,,,2.23,1.54
58:31.1,976370,REST,,,1.08,0.39
58:31.1,976470,REST,,,2.23,2.23
58:31.1,976570,REST,,,2.69,1.08
58:31.1,976670,REST,,,1.54,0.39
58:31.1,976770,REST,,,3.84,2.23
58:32.0,976870,REST,,,0.39,1.54
58:32.0,976970,REST,,,0.39,1.08
58:32.0,977070,REST,,,2.69,1.08
58:32.0,977170,REST,,,1.08,1.08
58:32.0,977270,REST,,,0.39,0.39
58:32.1,977370,REST,,,2.23,2.23
58:32.1,977470,REST,,,1.54,0.39
58:32.1,977570,REST,,,-0.76,1.54
58:32.1,977670,REST,,,0.39,2.69
58:32.1,977770,REST,,,1.54,1.08
58:33.0,977870,REST,,,1.08,1.54
58:33.0,977970,REST,,,2.69,2.23
58:33.0,978070,REST,,,2.23,1.54
58:33.0,978170,REST,,,1.08,-0.76
58:33.0,978270,REST,,,0.39,0.39
58:33.1,978370,REST,,,1.54,1.08
58:33.1,978470,REST,,,1.54,1.54
58:33.1,978570,REST,,,-0.07,-0.07
58:33.1,978670,REST,,,2.23,2.23
58:33.1,978770,REST,,,2.23,2.23
58:34.0,978870,REST,,,1.54,-0.07
58:34.0,978970,REST,,,-0.07,1.54
58:34.0,979070,REST,,,2.23,1.54
58:34.0,979170,REST,,,2.23,2.69
58:34.0,979270,REST,,,2.69,1.54
58:34.1,979370,REST,,,1.08,2.23
58:34.1,979470,REST,,,2.23,1.08
58:34.1,979570,REST,,,1.08,1.08
58:34.1,979670,REST,,,-0.07,0.39
58:34.1,979770,REST,,,2.23,2.23
58:35.0,979870,REST,,,2.23,2.23
58:35.0,979970,REST,,,1.08,2.23
58:35.0,980070,REST,,,0.39,0.39
58:35.0,980170,REST,,,0.39,-0.07
58:35.0,980270,REST,,,3.38,1.54
58:35.1,980370,REST,,,1.54,1.54
58:35.1,980470,REST,,,2.69,3.38
58:35.1,980570,REST,,,0.39,0.39
58:35.1,980670,REST,,,0.39,1.08
58:35.1,980770,REST,,,1.54,1.54
58:36.0,980870,REST,,,2.23,1.54
58:36.0,980970,REST,,,3.38,3.38
58:36.0,981070,REST,,,-0.07,-0.07
58:36.0,981170,REST,,,0.39,2.69
58:36.0,981270,REST,,,0.39,1.54
58:36.1,981370,REST,,,1.54,1.54
58:36.1,981470,REST,,,0.39,0.39
58:36.1,981570,REST,,,0.39,-0.07
