Timestamp,t [ms],Mode,Launch_Time [s],Fill_Time [s],P_o [Bar],P_i [Bar]
14:19:50.0377,2255202.0,,,,2.23,0.39
14:19:50.0476,2255302.0,,,,1.54,1.54
14:19:50.0585,2255402.0,,,,2.23,1.08
14:19:50.0689,2255502.0,,,,1.54,1.08
14:19:50.0784,2255602.0,,,,0.39,0.39
14:19:50.0881,2255702.0,,,,1.54,1.54
14:19:50.0979,2255802.0,,,,1.54,2.23
14:19:51.0079,2255902.0,REST,,,1.54,1.08
14:19:51.0185,2256002.0,REST,,,1.54,1.08
14:19:51.0281,2256102.0,REST,,,1.08,0.39
14:19:51.0381,2256202.0,REST,,,0.39,0.39
14:19:51.0481,2256302.0,REST,,,1.54,1.54
14:19:51.0582,2256402.0,REST,,,2.69,2.23
14:19:51.0682,2256502.0,REST,,,1.54,1.54
14:19:51.0784,2256602.0,REST,,,1.54,1.08
14:19:51.0885,2256702.0,REST,,,2.69,2.69
14:19:51.0985,2256802.0,REST,,,0.39,0.39
14:19:52.0085,2256902.0,REST,,,-0.07,1.54
14:19:52.0200,2257002.0,REST,,,1.08,1.08
14:19:52.0285,2257102.0,REST,,,0.39,0.39
14:19:52.0380,2257202.0,REST,,,2.23,1.54
14:19:52.0486,2257302.0,REST,,,1.54,1.54
14:19:52.0577,2257402.0,REST,,,2.23,1.54
14:19:52.0682,2257502.0,REST,,,1.54,2.69
14:19:52.0778,2257602.0,REST,,,0.39,1.54
14:19:52.0882,2257702.0,REST,,,-0.76,1.54
14:19:52.0971,2257802.0,REST,,,0.39,2.69
14:19:53.0083,2257902.0,REST,,,0.39,0.39
14:19:53.0182,2258002.0,REST,,,1.54,1.54
14:19:53.0284,2258102.0,REST,,,2.23,0.39
14:19:53.0382,2258202.0,REST,,,1.54,2.23
14:19:53.0485,2258302.0,REST,,,1.08,2.23
14:19:53.0585,2258402.0,REST,,,1.08,1.08
14:19:53.0682,2258502.0,REST,,,1.54,0.39
14:19:53.0780,2258602.0,REST,,,1.54,1.54
14:19:53.0886,2258702.0,REST,,,0.39,1.54
