Timestamp,t [ms],Mode,Launch_Time [s],Fill_Time [s],P_o [Bar],P_i [Bar]
19:08:43.0200,2055087.0,,,,1.08,1.08
19:08:43.0300,2055187.0,,,,0.39,2.69
19:08:43.0400,2055287.0,,,,0.39,2.23
19:08:43.0514,2055387.0,,,,1.08,1.08
19:08:43.0600,2055487.0,REST,,,1.54,1.54
19:08:43.0700,2055587.0,REST,,,1.54,1.54
19:08:43.0800,2055687.0,REST,,,1.54,1.08
19:08:43.0901,2055787.0,REST,,,2.69,-0.07
19:08:44.0001,2055887.0,REST,,,2.23,-0.76
19:08:44.0100,2055987.0,REST,,,1.08,1.08
19:08:44.0200,2056087.0,REST,,,2.69,2.69
19:08:44.0427,2056187.0,REST,,,1.08,2.23
19:08:44.0427,2056287.0,REST,,,2.23,1.54
19:08:44.0514,2056387.0,REST,,,1.08,1.08
19:08:44.0600,2056487.0,REST,,,1.54,2.23
19:08:44.0700,2056587.0,REST,,,1.54,1.54
19:08:44.0800,2056687.0,REST,,,0.39,2.23
19:08:44.0900,2056787.0,REST,,,1.54,3.84
19:08:45.0000,2056887.0,REST,,,1.08,1.08
19:08:45.0101,2056987.0,REST,,,1.08,-0.07
19:08:45.0200,2057087.0,REST,,,1.08,1.08
19:08:45.0300,2057187.0,REST,,,0.39,2.23
19:08:45.0400,2057287.0,REST,,,1.54,1.08
19:08:45.0515,2057387.0,REST,,,2.23,-0.07
19:08:45.0601,2057487.0,REST,,,1.08,2.23
19:08:45.0700,2057587.0,REST,,,1.54,1.54
19:08:45.0800,2057687.0,REST,,,0.39,1.54
19:08:45.0900,2057787.0,REST,,,2.69,0.39
19:08:46.0000,2057887.0,REST,,,1.54,0.39
19:08:46.0100,2057987.0,REST,,,1.54,1.54
19:08:46.0200,2058087.0,REST,,,2.23,2.23
19:08:46.0300,2058187.0,REST,,,2.23,0.39
19:08:46.0400,2058287.0,REST,,,1.54,2.23
19:08:46.0513,2058387.0,REST,,,1.08,1.08
19:08:46.0600,2058487.0,REST,,,1.08,2.69
19:08:46.0700,2058587.0,REST,,,4.99,4.99
19:08:46.0800,2058687.0,REST,,,1.08,1.08
19:08:46.0901,2058787.0,REST,,,-0.07,2.23
19:08:47.0000,2058887.0,REST,,,1.54,0.39
19:08:47.0100,2058987.0,REST,,,0.39,2.69
