Timestamp,t [ms],Mode,Launch_Time [s],Fill_Time [s],P_o [Bar],P_i [Bar]
18:58:01.0511,1413387.0,,,,1.54,1.08
18:58:01.0772,1413487.0,REST,,,2.69,1.54
18:58:01.0772,1413587.0,REST,,,1.08,2.23
18:58:01.0798,1413687.0,REST,,,1.08,1.08
18:58:01.0898,1413787.0,REST,,,1.08,1.08
18:58:01.0997,1413887.0,REST,,,2.69,1.08
18:58:02.0097,1413987.0,REST,,,1.54,1.08
18:58:02.0198,1414087.0,REST,,,2.23,1.54
18:58:02.0297,1414187.0,REST,,,2.23,0.39
18:58:02.0397,1414287.0,REST,,,2.23,1.54
18:58:02.0511,1414387.0,REST,,,0.39,0.39
18:58:02.0948,1414487.0,REST,,,3.38,3.38
18:58:02.0948,1414587.0,REST,,,1.08,1.08
18:58:02.0949,1414687.0,REST,,,2.23,1.54
18:58:02.0949,1414787.0,REST,,,2.69,0.39
18:58:02.0997,1414887.0,REST,,,1.08,1.08
18:58:03.0099,1414987.0,REST,,,-0.07,-0.07
18:58:03.0197,1415087.0,REST,,,2.23,2.23
18:58:03.0299,1415187.0,REST,,,2.69,-0.76
18:58:03.0398,1415287.0,REST,,,0.39,2.69
18:58:03.0512,1415387.0,REST,,,2.23,-0.07
18:58:03.0914,1415487.0,REST,,,1.54,1.54
18:58:03.0915,1415587.0,REST,,,1.08,2.69
18:58:03.0915,1415687.0,REST,,,1.54,1.08
18:58:03.0916,1415787.0,REST,,,2.69,1.08
18:58:03.0997,1415887.0,REST,,,0.39,2.23
18:58:04.0097,1415987.0,REST,,,1.08,1.54
18:58:04.0198,1416087.0,REST,,,1.54,1.54
18:58:04.0298,1416187.0,REST,,,1.08,2.23
18:58:04.0399,1416287.0,REST,,,-0.07,1.54
18:58:04.0512,1416387.0,REST,,,1.54,1.54
18:58:04.0931,1416487.0,REST,,,-0.76,1.54
18:58:04.0931,1416587.0,REST,,,2.23,2.23
18:58:04.0931,1416687.0,REST,,,2.69,2.69
18:58:04.0932,1416787.0,REST,,,2.23,0.39
18:58:04.0997,1416887.0,REST,,,2.23,1.54
18:58:05.0098,1416987.0,REST,,,2.23,2.69
18:58:05.0197,1417087.0,REST,,,0.39,0.39
18:58:05.0298,1417187.0,REST,,,1.54,1.54
18:58:05.0398,1417287.0,REST,,,2.23,1.54
18:58:05.0511,1417387.0,REST,,,0.39,1.08
18:58:05.0969,1417487.0,REST,,,0.39,1.08
18:58:05.0969,1417587.0,REST,,,1.54,1.08
18:58:05.0969,1417687.0,REST,,,-0.76,2.23
18:58:05.0970,1417787.0,REST,,,1.08,1.08
18:58:05.0997,1417887.0,REST,,,2.23,1.08
18:58:06.0098,1417987.0,REST,,,1.54,2.23
18:58:06.0198,1418087.0,REST,,,1.08,1.08
18:58:06.0297,1418187.0,REST,,,2.23,2.23
18:58:06.0397,1418287.0,REST,,,0.39,0.39
18:58:06.0511,1418387.0,REST,,,0.39,0.39
18:58:06.0966,1418487.0,REST,,,2.23,2.69
18:58:06.0966,1418587.0,REST,,,0.39,1.08
18:58:06.0975,1418687.0,REST,,,1.54,2.23
18:58:06.0975,1418787.0,REST,,,2.69,1.54
18:58:06.0997,1418887.0,REST,,,2.23,2.23
18:58:07.0100,1418987.0,REST,,,-0.07,-0.07
18:58:07.0198,1419087.0,REST,,,0.39,1.54
18:58:07.0298,1419187.0,REST,,,1.08,2.23
18:58:07.0398,1419287.0,REST,,,2.23,1.54
18:58:07.0512,1419387.0,REST,,,1.54,3.38
18:58:08.0027,1419487.0,REST,,,1.08,1.08
18:58:08.0027,1419587.0,REST,,,1.08,1.08
18:58:08.0027,1419687.0,REST,,,1.54,0.39
18:58:08.0028,1419787.0,REST,,,2.23,1.54
18:58:08.0028,1419887.0,REST,,,1.54,1.08
18:58:08.0097,1419987.0,REST,,,1.54,0.39
18:58:08.0198,1420087.0,REST,,,2.23,2.23
18:58:08.0298,1420187.0,REST,,,-0.07,1.54
18:58:08.0398,1420287.0,REST,,,1.08,1.54
18:58:08.0511,1420387.0,REST,,,1.54,3.38
18:58:08.0974,1420487.0,REST,,,2.23,0.39
18:58:08.0974,1420587.0,REST,,,0.39,2.23
18:58:08.0974,1420687.0,REST,,,3.38,3.38
18:58:08.0974,1420787.0,REST,,,2.23,1.54
18:58:08.0998,1420887.0,REST,,,2.23,2.23
18:58:09.0098,1420987.0,REST,,,0.39,2.23
18:58:09.0198,1421087.0,REST,,,0.39,0.39
18:58:09.0297,1421187.0,REST,,,1.54,1.54
18:58:09.0398,1421287.0,REST,,,2.23,1.08
18:58:09.0511,1421387.0,REST,,,3.84,2.69
18:58:10.0026,1421487.0,REST,,,1.54,-0.07
18:58:10.0026,1421587.0,REST,,,2.23,1.54
18:58:10.0027,1421687.0,REST,,,1.08,0.39
18:58:10.0027,1421787.0,REST,,,0.39,0.39
18:58:10.0027,1421887.0,REST,,,1.54,1.08
18:58:10.0098,1421987.0,REST,,,2.23,1.54
18:58:10.0197,1422087.0,REST,,,1.08,0.39
18:58:10.0297,1422187.0,REST,,,1.08,1.08
18:58:10.0400,1422287.0,REST,,,-0.07,-0.76
18:58:10.0511,1422387.0,REST,,,1.08,1.08
18:58:11.0075,1422487.0,REST,,,1.08,1.54
18:58:11.0076,1422587.0,REST,,,1.54,2.23
18:58:11.0077,1422687.0,REST,,,2.23,3.38
18:58:11.0077,1422787.0,REST,,,1.08,1.08
18:58:11.0078,1422887.0,REST,,,2.69,2.69
18:58:11.0098,1422987.0,REST,,,1.08,2.69
18:58:11.0199,1423087.0,REST,,,0.39,-0.07
18:58:11.0298,1423187.0,REST,,,1.54,2.69
18:58:11.0398,1423287.0,REST,,,3.38,1.08
18:58:11.0511,1423387.0,REST,,,2.23,1.54
18:58:12.0110,1423487.0,REST,,,2.69,2.69
18:58:12.0111,1423587.0,REST,,,1.54,1.54
18:58:12.0120,1423687.0,REST,,,1.08,1.54
18:58:12.0120,1423787.0,REST,,,0.39,1.54
18:58:12.0120,1423887.0,REST,,,1.54,3.38
18:58:12.0121,1423987.0,REST,,,1.08,1.08
18:58:12.0198,1424087.0,REST,,,1.54,1.54
18:58:12.0298,1424187.0,REST,,,2.23,1.54
18:58:12.0398,1424287.0,REST,,,2.69,1.54
18:58:12.0513,1424387.0,REST,,,1.54,-0.07
18:58:13.0099,1424487.0,REST,,,0.39,2.23
18:58:13.0100,1424587.0,REST,,,1.54,1.54
18:58:13.0100,1424687.0,REST,,,1.08,1.54
18:58:13.0100,1424787.0,REST,,,1.54,1.08
18:58:13.0101,1424887.0,REST,,,1.08,1.08
18:58:13.0101,1424987.0,REST,,,2.23,1.08
18:58:13.0198,1425087.0,REST,,,3.84,0.39
18:58:13.0298,1425187.0,REST,,,1.08,1.08
18:58:13.0398,1425287.0,REST,,,1.08,1.54
18:58:13.0511,1425387.0,REST,,,2.23,1.08
18:58:14.0154,1425487.0,REST,,,1.08,-0.07
18:58:14.0154,1425587.0,REST,,,1.54,-0.07
18:58:14.0155,1425687.0,REST,,,1.08,0.39
18:58:14.0155,1425787.0,REST,,,0.39,0.39
18:58:14.0155,1425887.0,REST,,,1.08,0.39
18:58:14.0156,1425987.0,REST,,,1.54,1.54
18:58:14.0197,1426087.0,REST,,,1.54,1.54
18:58:14.0297,1426187.0,REST,,,1.54,0.39
18:58:14.0397,1426287.0,REST,,,1.54,1.54
18:58:14.0511,1426387.0,REST,,,0.39,0.39
18:58:15.0091,1426487.0,REST,,,0.39,2.69
18:58:15.0092,1426587.0,REST,,,1.08,0.39
18:58:15.0092,1426687.0,REST,,,2.23,2.69
18:58:15.0092,1426787.0,REST,,,1.08,-0.07
18:58:15.0093,1426887.0,REST,,,2.69,2.69
18:58:15.0097,1426987.0,REST,,,1.54,2.23
18:58:15.0199,1427087.0,REST,,,1.54,-0.07
18:58:15.0298,1427187.0,REST,,,2.23,2.69
18:58:15.0398,1427287.0,REST,,,2.69,1.08
18:58:15.0512,1427387.0,REST,,,3.38,-0.07
18:58:16.0074,1427487.0,REST,,,1.54,1.54
18:58:16.0075,1427587.0,REST,,,0.39,0.39
18:58:16.0075,1427687.0,REST,,,2.23,1.08
18:58:16.0076,1427787.0,REST,,,0.39,2.69
18:58:16.0076,1427887.0,REST,,,1.54,2.69
18:58:16.0097,1427987.0,REST,,,2.23,1.54
18:58:16.0198,1428087.0,REST,,,2.23,2.23
18:58:16.0298,1428187.0,REST,,,2.23,1.08
18:58:16.0397,1428287.0,REST,,,1.08,0.39
18:58:16.0512,1428387.0,REST,,,1.08,1.08
18:58:17.0147,1428487.0,REST,,,-0.07,1.54
18:58:17.0147,1428587.0,REST,,,1.08,1.08
18:58:17.0155,1428687.0,REST,,,0.39,1.54
18:58:17.0156,1428787.0,REST,,,0.39,1.08
18:58:17.0156,1428887.0,REST,,,2.23,1.54
18:58:17.0156,1428987.0,REST,,,1.54,1.54
18:58:17.0197,1429087.0,REST,,,2.23,1.54
18:58:17.0297,1429187.0,REST,,,2.23,2.23
18:58:17.0398,1429287.0,REST,,,1.54,1.54
18:58:17.0511,1429387.0,REST,,,1.08,2.69
